repo,web_property,items,issues,prs,open,bug,feature,deps,chore,ci,testing,docs,security,uncategorised,platform-cos,platform-tls,platform-terraform,platform-airgap,platform-backup,platform-arm64
canonical/charm-ovn-central,0,20,0,20,0,1,4,3,0,7,2,0,0,4,6,0,0,0,0,0
canonical/charm-ovn-chassis,0,32,0,32,0,1,6,12,0,6,6,0,0,6,4,0,0,0,0,0
canonical/charm-ovn-dedicated-chassis,0,16,0,16,0,2,5,3,0,6,1,0,0,1,4,0,0,0,0,0
canonical/charm-prometheus-blackbox-exporter,0,45,6,39,1,2,6,3,3,4,2,1,0,32,1,0,0,0,0,0
canonical/charm-prometheus-libvirt-exporter,0,85,34,51,1,6,13,2,2,6,5,2,0,52,8,0,0,1,0,2
canonical/charm-rabbitmq-k8s,0,25,0,25,6,4,7,8,2,2,1,1,1,4,1,0,0,0,0,0
canonical/charm-rolling-ops,0,223,10,213,7,12,7,114,0,10,7,0,2,82,0,0,0,0,0,0
canonical/charm-simple-streams,0,43,2,41,0,6,9,3,1,9,6,1,0,21,0,0,0,1,0,0
canonical/charm-sysconfig,0,115,50,65,2,14,13,5,2,11,3,3,0,82,0,0,0,0,0,1
canonical/charm-ubuntu,0,105,23,82,2,11,25,33,9,24,10,5,3,21,0,0,0,0,1,1
canonical/charm-userdir-ldap,0,93,23,70,1,5,9,2,2,6,3,1,0,71,0,0,0,0,0,1
canonical/charmcraft-profile-tools,0,76,0,76,0,2,4,53,0,11,13,1,0,8,0,0,0,0,0,0
canonical/charmed-5g-upf-interface,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
canonical/charmed-canonical-cla,0,8,0,8,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0
canonical/charmed-etcd-benchmark-operator,0,11,1,10,6,0,5,5,1,0,1,0,0,1,1,0,0,0,0,0
canonical/charmed-etcd-operator,0,249,20,229,5,45,67,25,23,12,41,38,4,54,3,27,1,0,11,2
canonical/charmed-gh-jira-sync-bot,0,14,0,14,0,0,6,5,0,1,0,0,0,3,0,0,0,1,0,0
canonical/charmed-nodejs-boilerplate,0,31,2,29,8,1,3,21,1,1,0,1,3,5,0,0,0,0,1,1
canonical/charmed-openstack-cinder-backends,0,17,1,16,2,0,6,2,0,2,1,0,0,7,0,0,0,0,0,0
canonical/charmhub-solutions-service,0,57,0,57,2,3,20,14,3,1,1,0,2,15,0,0,0,0,0,0
canonical/charmhub.io,1,2378,654,1724,24,313,420,323,239,21,102,118,37,1128,6,2,1,1,0,1
canonical/charming-actions,1,179,66,113,37,75,59,40,7,8,2,11,0,27,1,0,0,0,0,0
canonical/chopsticks,0,19,0,19,4,6,10,2,2,3,6,3,0,1,0,0,0,0,0,0
canonical/chrony-client-operator,0,70,11,59,8,12,4,35,34,6,4,7,1,12,5,0,2,1,0,0
canonical/chrony-operator,0,154,2,152,1,20,12,103,80,8,5,11,6,26,2,2,0,0,0,0
canonical/cinder-csi-operator,0,21,0,21,3,3,5,3,0,2,0,0,0,10,0,0,1,1,0,0
canonical/cloud-init.io,1,285,63,222,17,14,24,143,1,8,1,9,4,95,0,0,0,0,0,0
canonical/cloudflare-configurator-operator,0,47,3,44,1,4,7,25,7,6,2,1,1,13,0,0,0,0,0,0
canonical/cloudflared-operator,0,61,1,60,0,15,11,27,6,7,1,5,0,19,0,0,0,1,0,0
canonical/cluster-api-k8s,0,242,48,194,26,38,61,58,26,22,21,3,7,69,0,4,0,15,0,0
canonical/cn.ubuntu.com,1,877,153,724,16,81,112,243,31,15,6,5,11,421,2,0,0,4,0,0
canonical/comsys-libs,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/comsys-openldap-k8s-operator,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/configurable-nginx-charm,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/conserver-charm,0,50,1,49,14,1,7,18,34,5,2,1,0,3,2,0,4,0,0,0
canonical/consul-client-operator,0,36,6,30,1,9,11,1,0,3,0,0,1,15,1,0,0,0,0,0
canonical/consul-k8s-operator,0,14,0,14,1,4,2,1,0,3,2,1,1,4,0,1,0,0,0,0
canonical/container-runner-operator,0,71,10,61,13,10,8,24,46,4,0,0,0,3,0,3,0,2,0,0
canonical/content-cache-k8s-operator,0,201,6,195,17,29,43,61,61,12,15,36,2,42,3,0,0,3,0,0
canonical/content-cache-operator,0,145,2,143,6,12,33,57,33,8,8,26,7,25,3,3,0,2,0,0
canonical/cos-configuration-k8s-operator,0,194,41,153,17,28,41,7,54,12,4,6,1,57,15,0,1,4,0,0
canonical/cos-coordinated-workers,0,181,59,122,35,56,74,20,37,2,10,3,0,13,7,8,0,7,0,0
canonical/cos-proxy-operator,0,251,106,145,29,94,70,9,20,7,9,11,2,48,54,0,0,25,0,1
canonical/cos-registration-server-k8s-operator,0,68,8,60,9,20,20,4,9,7,5,0,1,9,6,2,8,0,0,0
canonical/cs.canonical.com,1,334,7,327,33,39,76,141,69,15,15,2,23,63,0,0,0,0,0,0
canonical/cve-scanner-operator,0,70,28,42,11,3,19,8,2,2,3,3,9,28,6,0,0,4,0,0
canonical/dashboard,1,172,30,142,22,23,32,19,0,6,15,10,0,87,0,0,0,0,0,0
canonical/dashboard-operator,0,9,1,8,1,1,0,4,0,2,0,2,0,1,0,0,0,0,0,0
canonical/data-integrator,0,316,10,306,7,16,33,133,1,16,34,3,8,104,0,1,0,0,1,1
canonical/data-kubeflow-integrator,0,37,8,29,12,3,9,9,4,2,4,0,2,12,0,1,0,0,0,0
canonical/data-platform-libs,0,268,61,207,43,83,60,43,6,15,20,10,2,94,0,5,0,0,1,0
canonical/datahub-k8s-operator,0,40,0,40,4,8,12,6,4,2,3,0,0,9,1,1,1,1,0,0
canonical/ddeb-retriever-operator,0,8,0,8,5,0,0,6,6,0,2,0,0,2,0,0,0,0,0,0
canonical/dex-auth-operator,0,303,59,244,10,47,85,95,83,39,28,6,0,42,7,0,9,2,0,0
canonical/digest-squid-auth-helper,0,106,8,98,2,5,9,55,34,6,10,19,1,11,0,0,2,0,0,0
canonical/discourse-k8s-operator,0,488,24,464,8,66,91,110,140,28,34,67,4,129,2,0,2,3,1,1
canonical/dns-operators,0,468,2,466,12,18,43,164,319,11,19,23,8,71,0,1,7,0,0,0
canonical/docker-registry-charm,0,73,0,73,1,9,17,6,0,4,2,6,0,32,1,3,0,4,0,0
canonical/documentationacademy.org,1,22,1,21,18,3,2,17,10,1,2,0,3,1,0,0,0,0,0,0
canonical/envoy-operator,0,215,34,181,4,35,52,81,62,34,11,0,0,22,4,2,8,5,0,0
canonical/falco-operators,0,168,7,161,7,28,30,48,85,11,9,15,1,16,3,4,6,0,0,0
canonical/forgejo-k8s-operator,0,31,1,30,0,10,13,1,0,2,3,2,0,4,0,0,0,2,0,0
canonical/forgejo-runner-k8s-operator,0,4,0,4,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
canonical/gateway-api-integrator-operator,0,306,9,297,8,50,44,158,140,14,23,35,9,40,0,6,7,0,0,0
canonical/gatus-k8s-operator,0,30,0,30,12,1,4,13,5,2,1,0,0,6,0,0,0,0,0,0
canonical/generic-exporter-operator,0,34,8,26,2,2,15,9,16,3,3,2,0,1,1,0,1,0,0,0
canonical/git-integrator,0,15,5,10,5,5,9,3,0,2,3,1,0,0,0,0,2,0,0,0
canonical/git-ubuntu-operator,0,33,0,33,0,1,10,1,0,2,3,1,0,16,1,0,1,2,0,0
canonical/github-profiles-automator,0,98,46,52,12,17,50,21,5,5,13,2,1,10,1,1,3,0,0,0
canonical/github-runner-image-builder-operator,0,238,8,230,20,27,55,79,101,11,21,29,4,29,3,0,6,5,0,3
canonical/github-runner-operator,0,809,38,771,16,177,179,118,157,40,113,69,19,174,28,0,11,12,0,4
canonical/glauth-k8s-operator,0,298,37,261,11,41,47,27,168,37,11,7,4,21,1,9,11,0,0,3
canonical/glauth-operator,0,5,0,5,1,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0
canonical/glauth-utils,0,217,10,207,3,17,17,30,168,17,7,4,2,4,0,0,6,0,0,1
canonical/grafana-agent-k8s-operator,0,454,118,336,12,122,103,17,77,19,15,14,2,112,69,13,7,1,0,6
canonical/grafana-agent-operator,0,414,165,249,46,115,88,33,106,10,9,6,3,77,67,7,3,0,0,5
canonical/grafana-cloud-integrator,0,46,14,32,7,8,25,3,3,9,1,3,2,6,8,1,0,0,0,1
canonical/grafana-k8s-operator,0,578,202,376,46,159,160,30,42,29,27,24,3,148,115,18,5,4,0,0
canonical/haproxy-operator,0,615,56,559,26,68,167,231,165,25,36,79,9,99,8,18,21,8,0,0
canonical/hardware-observer-operator,0,542,200,342,17,130,146,22,13,21,59,19,1,185,35,1,2,1,1,5
canonical/hive-metastore-k8s-operator,0,11,0,11,8,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0
canonical/hockeypuck-k8s-operator,0,227,54,173,6,9,24,54,63,10,20,38,4,91,2,0,8,0,0,0
canonical/hook-service-operator,0,177,8,169,3,5,22,27,129,23,4,1,1,13,0,0,7,0,0,0
canonical/hpc-node-operators,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/hpc-package-operators,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/hpct-slurm-client-operator,0,5,1,4,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0
canonical/hpct-slurm-server-operator,0,5,0,5,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0
canonical/http-proxy-operators,0,88,1,87,3,7,18,49,23,7,4,9,11,8,1,0,0,16,0,0
canonical/httprequest-lego-provider,0,194,20,174,10,16,43,81,70,8,11,16,9,37,4,0,3,0,0,0
canonical/hydra-operator,0,590,53,537,19,63,70,87,317,66,17,9,3,94,2,0,7,0,0,1
canonical/identity-platform-admin-ui-operator,0,324,18,306,12,24,22,36,242,98,11,2,3,21,1,0,3,0,0,0
canonical/identity-platform-login-ui-operator,0,488,22,466,11,41,58,53,309,66,19,6,3,59,4,1,25,0,0,1
canonical/identity-saml-provider-operator,0,79,10,69,2,6,17,10,48,13,3,1,1,5,0,4,5,0,0,0
canonical/indico-operator,0,775,203,572,11,80,99,125,128,49,71,76,3,336,14,3,14,9,0,0
