repo,web_property,items,issues,prs,open,bug,feature,deps,chore,ci,testing,docs,security,uncategorised,platform-cos,platform-tls,platform-terraform,platform-airgap,platform-backup,platform-arm64
canonical/openfga-operator,0,422,33,389,10,37,40,66,283,51,13,5,6,34,5,3,8,0,0,0
canonical/opensearch-benchmark-operator,0,23,3,20,15,0,3,13,0,1,0,1,6,6,0,0,0,0,0,0
canonical/opensearch-dashboards-operator,0,278,25,253,38,28,22,97,6,25,29,17,9,79,5,9,5,1,0,0
canonical/opensearch-operator,0,837,186,651,54,242,138,85,16,42,137,63,10,231,20,50,18,2,34,0
canonical/openstack-exporter-operator,0,206,55,151,21,15,39,11,5,25,26,6,0,107,9,2,0,0,0,0
canonical/opentelemetry-collector-integrator-operator,0,29,10,19,5,5,8,9,0,4,1,1,1,8,1,0,0,0,0,0
canonical/opentelemetry-collector-k8s-operator,0,334,105,229,55,74,157,22,73,11,21,5,1,28,27,12,7,1,0,1
canonical/opentelemetry-collector-operator,0,364,128,236,63,136,135,24,84,8,10,6,0,14,34,11,5,0,0,0
canonical/operator,0,2638,843,1795,63,357,481,276,399,228,654,552,13,674,31,3,0,2,10,1
canonical/otel-ebpf-profiler-operator,0,63,17,46,4,3,25,9,27,4,7,3,0,6,1,3,7,0,0,2
canonical/ov-slurm-charms,0,6,4,2,4,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0
canonical/parca-agent-operator,0,115,19,96,9,12,25,21,71,14,12,3,1,5,7,2,0,0,0,0
canonical/parca-k8s-operator,0,526,45,481,4,31,63,305,190,20,20,3,2,23,18,6,0,0,0,0
canonical/parca-scrape-target-operator,0,115,11,104,6,22,24,42,62,10,12,3,2,5,5,2,0,0,0,0
canonical/penpot-operator,0,122,1,121,4,17,14,59,54,8,9,16,3,28,1,0,0,0,0,0
canonical/pgbouncer-k8s-operator,0,816,20,796,10,43,47,395,1,39,56,19,12,258,4,11,0,0,0,2
canonical/pgbouncer-operator,0,718,31,687,19,54,57,295,0,37,56,22,8,245,5,4,0,0,1,6
canonical/phoronix-system-tests,0,4,1,3,2,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0
canonical/polar-signals-cloud-integrator-operator,0,83,1,82,11,30,5,45,43,3,14,0,4,5,2,0,0,0,0,0
canonical/pollen-operator,0,103,1,102,2,6,19,37,36,8,1,26,0,30,1,0,0,0,0,0
canonical/postfix-relay-operators,0,68,3,65,3,3,9,34,41,4,8,3,2,9,1,2,6,0,0,0
canonical/postgresql-k8s-operator,0,1688,146,1542,57,300,202,478,5,65,194,83,29,495,14,33,6,0,61,7
canonical/postgresql-operator,0,1887,258,1629,134,437,281,434,3,54,298,116,30,489,31,40,11,6,79,18
canonical/postgresql-single-kernel-library,0,201,2,199,8,7,32,110,3,11,10,0,2,39,0,7,0,1,0,0
canonical/postgresql-test-app,0,537,4,533,3,5,17,317,0,41,13,1,5,171,0,1,0,0,1,2
canonical/postgresql-watcher-operator,0,79,1,78,4,5,9,44,0,3,4,0,1,19,0,0,0,0,0,0
canonical/prometheus-k8s-operator,0,838,245,593,37,178,181,35,106,28,64,29,3,253,132,18,4,4,0,0
canonical/prometheus-pushgateway-k8s-operator,0,62,9,53,8,3,17,6,20,9,2,3,2,10,5,1,0,0,0,0
canonical/prometheus-scrape-config-k8s-operator,0,85,12,73,4,21,16,3,17,9,3,10,1,24,5,0,0,0,0,0
canonical/prometheus-scrape-target-k8s-operator,0,61,11,50,6,12,22,3,4,9,1,5,1,16,5,2,0,0,0,0
canonical/pvcviewer-operator,0,151,27,124,12,9,39,60,53,23,13,2,6,16,1,0,10,2,0,0
canonical/pyroscope-operators,0,432,236,196,15,24,65,43,324,10,13,6,1,8,14,6,5,1,0,0
canonical/ranger-k8s-operator,0,58,3,55,7,10,10,7,2,2,11,3,1,20,1,1,0,0,1,0
canonical/rawfile-localpv-operator,0,18,0,18,5,3,6,7,1,2,3,1,0,1,0,0,0,0,0,0
canonical/redis-k8s-operator,0,115,29,86,11,22,19,7,2,9,16,8,0,48,2,4,0,0,0,0
canonical/redis-operator,0,5,0,5,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0
canonical/request-authentication-configurator,0,13,3,10,0,6,5,2,1,3,4,0,0,1,0,0,0,0,0,0
canonical/resource-dispatcher,0,177,34,143,15,31,47,49,42,30,11,2,0,25,0,0,8,0,0,0
canonical/roadmap.canonical.com,1,57,7,50,5,14,16,17,1,4,5,1,0,14,0,0,0,0,0,0
canonical/role-distributor-operator,0,5,0,5,2,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0
canonical/ros2bag-fileserver-k8s-operator,0,34,2,32,6,6,9,3,8,5,2,0,0,5,3,0,5,0,0,0
canonical/s3-integrator,0,304,22,282,7,15,16,148,0,9,7,5,2,112,0,1,1,1,1,3
canonical/s3proxy-k8s-operator,0,3,0,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
canonical/saml-integrator-operator,0,252,7,245,3,41,26,147,118,13,12,31,1,34,0,2,9,2,0,0
canonical/script-exporter-operator,0,71,24,47,13,9,31,9,19,8,1,4,2,8,4,1,0,0,0,3
canonical/self-signed-certificates-operator,0,595,48,547,15,102,97,273,381,43,28,5,3,22,1,41,37,0,0,3
canonical/sloth-k8s-operator,0,90,13,77,2,7,14,19,62,4,3,5,0,4,6,0,0,0,0,0
canonical/slurmctld-operator,0,7,0,7,0,1,3,2,1,4,2,1,0,0,0,0,0,0,2,0
canonical/slurmd-operator,0,12,0,12,0,1,8,0,0,5,4,1,0,2,0,0,0,0,1,0
canonical/slurmdbd-operator,0,11,1,10,0,2,7,1,1,6,3,1,0,0,0,0,0,0,2,0
canonical/slurmrestd-operator,0,12,0,12,0,1,9,0,0,5,5,1,0,1,0,0,0,0,1,0
canonical/smtp-integrator-operator,0,182,9,173,1,8,22,84,95,12,13,19,1,34,0,1,9,0,0,0
canonical/snap-recommendation-service,1,142,6,136,16,14,40,37,36,4,15,0,10,29,0,0,0,0,0,0
canonical/snmp-exporter-operator,0,27,4,23,4,3,12,5,4,7,3,3,2,3,2,1,0,0,0,0
canonical/spark-history-server-k8s-operator,0,207,17,190,7,23,27,50,3,16,21,3,2,80,4,1,0,3,0,1
canonical/spark-integration-hub-k8s-operator,0,229,19,210,7,26,29,75,2,12,14,4,2,83,2,1,0,1,2,1
canonical/spark-test-app,0,12,1,11,3,1,2,4,0,3,1,0,0,3,0,0,0,0,0,0
canonical/specs.canonical.com,1,32,6,26,10,5,9,10,1,0,0,1,0,7,0,0,0,0,0,0
canonical/sssd-operator,0,45,6,39,4,3,22,13,16,4,4,6,1,5,0,0,3,0,0,0
canonical/sunbeam-cinder-factory,0,7,0,7,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
canonical/superset-k8s-operator,0,123,5,118,15,18,37,19,2,4,5,6,1,42,2,3,0,1,1,0
canonical/synapse-operator,0,1212,49,1163,12,92,153,677,725,28,30,44,12,188,16,1,22,1,11,0
canonical/sysbench-operator,0,268,17,251,14,21,14,137,0,6,11,3,5,87,0,0,0,0,0,2
canonical/template-connect-integrator,0,33,5,28,14,3,16,12,3,1,3,1,0,3,0,1,0,0,0,0
canonical/tempo-operators,0,415,133,282,25,65,68,42,240,14,15,10,0,31,9,11,12,1,0,0
canonical/temporal-admin-k8s-operator,0,58,4,54,5,7,21,8,10,18,11,1,2,12,2,2,2,0,0,0
canonical/temporal-k8s-operator,0,151,35,116,23,28,61,15,11,25,19,15,3,26,5,9,2,1,2,0
canonical/temporal-ui-k8s-operator,0,54,4,50,5,5,23,10,12,17,10,1,2,5,2,1,2,1,0,0
canonical/temporal-worker-k8s-operator,0,114,22,92,8,29,39,10,7,26,15,5,2,18,4,0,5,3,0,0
canonical/tenant-service-operator,0,39,1,38,4,9,2,12,26,11,2,0,1,1,0,0,1,0,0,0
canonical/timescaledb-charm,0,6,0,6,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0
canonical/tls-certificates-interface,0,494,62,432,9,91,97,234,263,18,47,14,1,29,0,53,0,1,0,0
canonical/tls-certificates-interface-demo,0,34,0,34,7,0,2,30,31,0,0,0,0,0,0,1,0,0,0,0
canonical/tls-certificates-requirer-operator,0,496,15,481,5,23,52,348,417,20,12,6,0,11,0,20,0,0,0,2
canonical/tls-constraints-operator,0,155,0,155,0,3,24,110,136,7,10,2,0,4,0,5,0,0,0,0
canonical/tls-truststore-operator,0,4,0,4,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0
canonical/tmate-ssh-server-operator,0,48,2,46,3,4,20,9,11,8,4,14,0,6,0,0,0,1,0,0
canonical/traefik-k8s-operator,0,747,265,482,90,141,114,58,74,25,54,28,4,282,16,72,12,7,0,2
canonical/training-operator,0,309,55,254,5,50,82,110,82,52,34,4,0,37,8,0,9,1,0,0
canonical/transition-tracker-operator,0,35,0,35,2,0,1,22,8,0,1,1,0,5,0,0,0,0,0,0
canonical/trino-k8s-operator,0,127,2,125,5,21,39,12,3,3,17,5,2,38,4,5,0,1,1,0
canonical/ubuntu-com-security-api,0,292,65,227,24,30,72,42,15,5,17,9,50,114,0,0,0,0,1,0
canonical/ubuntu-copy-report-operator,0,55,1,54,9,0,0,47,2,0,10,0,0,6,0,0,0,0,0,0
canonical/ubuntu-debuginfod-operator,0,9,0,9,4,0,2,5,0,0,2,1,0,0,0,0,0,0,0,0
canonical/ubuntu-desktop-versions-operator,0,30,5,25,10,3,10,6,14,2,4,0,0,3,0,0,0,0,0,0
canonical/ubuntu-insights-k8s-operator,0,138,1,137,4,15,17,92,0,12,14,1,0,17,3,0,0,0,0,0
canonical/ubuntu-langpacks-operator,0,21,0,21,2,0,1,13,4,0,2,0,0,1,0,0,0,1,0,0
canonical/ubuntu-manpages-operator,0,82,19,63,0,8,6,43,2,3,2,3,0,20,0,0,0,3,1,0
canonical/ubuntu-merges-operator,0,21,2,19,2,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0
canonical/ubuntu-metrics-k8s-operator,0,2,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
canonical/ubuntu-motd-server-operator,0,108,2,106,1,2,4,70,84,6,10,3,0,8,0,0,11,0,0,0
canonical/ubuntu-proposed-migration-operator,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/ubuntu-static-reports-operator,0,85,1,84,12,2,3,60,32,3,12,0,2,11,0,0,0,1,0,0
canonical/ubuntu.com,1,16375,5630,10745,139,1554,2473,429,279,100,259,709,604,10752,40,9,0,23,10,43
canonical/user-verification-service-operator,0,238,7,231,3,12,18,39,187,28,3,0,2,15,1,0,4,1,0,0
canonical/valkey-operator,0,93,10,83,12,13,16,17,7,7,18,10,1,23,0,9,0,0,5,1
canonical/vanilla-framework,1,5739,2699,3040,242,497,836,383,128,89,85,632,10,3419,0,1,0,4,9,0
canonical/vault-k8s-operator,0,1035,88,947,24,229,169,435,537,50,92,45,7,51,10,52,15,7,21,3
canonical/velero-integrator,0,33,1,32,12,1,7,18,14,3,2,1,3,1,0,0,0,0,2,0
canonical/velero-kubeflow-client,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/velero-operator,0,241,45,196,19,32,58,144,139,7,19,6,0,6,8,1,0,0,21,0
canonical/wazuh-dashboard-operator,0,52,3,49,2,6,13,6,7,6,2,9,1,16,1,0,5,0,0,0
canonical/wazuh-indexer-operator,0,51,3,48,5,8,14,6,6,4,4,9,0,14,1,0,4,0,0,0
canonical/wazuh-server-operator,0,414,7,407,5,106,52,142,63,18,19,47,10,80,13,17,17,2,1,0
canonical/webteam-juju-demos-testing,0,14,0,14,3,0,0,1,0,2,6,0,0,6,0,0,0,0,0,0
canonical/webteam-webbot,1,9,0,9,2,1,4,1,0,0,0,0,1,3,0,0,0,0,0,0
canonical/wireguard-gateway-operator,0,43,1,42,7,3,8,18,7,3,2,6,1,10,1,0,1,0,0,0
canonical/wordpress-k8s-operator,0,380,24,356,11,61,68,70,66,19,36,78,7,114,10,1,0,1,0,0
canonical/zookeeper-k8s-operator,0,143,11,132,4,41,41,16,6,11,15,10,0,34,2,10,0,0,4,0
canonical/zookeeper-operator,0,208,21,187,5,56,52,21,19,14,28,13,1,47,2,10,0,0,5,0
charmed-kubernetes/aws-k8s-storage,0,22,0,22,2,5,4,3,0,2,0,2,0,11,0,1,0,0,0,0
charmed-kubernetes/ceph-csi-operator,0,78,15,63,14,5,18,5,0,2,7,6,0,39,0,0,2,0,0,0
charmed-kubernetes/charm-aws-cloud-provider,0,13,0,13,2,2,3,2,0,2,0,0,0,8,0,0,0,0,0,0
charmed-kubernetes/charm-aws-iam,0,16,0,16,1,0,5,3,0,2,0,2,0,8,0,0,0,0,0,0
charmed-kubernetes/charm-azure-cloud-provider,0,28,0,28,2,3,4,2,0,2,4,1,0,17,0,0,0,0,0,0
charmed-kubernetes/charm-calico,0,118,0,118,4,17,32,21,0,3,3,3,2,47,0,0,0,2,0,3
charmed-kubernetes/charm-cilium,0,37,0,37,4,5,11,3,2,4,4,0,0,10,2,1,0,0,0,0
charmed-kubernetes/charm-containerd,0,104,0,104,8,18,33,8,1,2,9,3,0,41,0,2,0,2,2,0
charmed-kubernetes/charm-coredns,0,46,0,46,2,3,9,13,0,4,3,3,1,17,0,0,0,0,0,0
charmed-kubernetes/charm-docker,0,22,0,22,1,4,10,3,0,2,1,1,0,6,0,0,0,2,0,0
charmed-kubernetes/charm-flannel,0,83,0,83,4,9,29,8,0,5,7,4,0,33,0,0,0,1,0,1
charmed-kubernetes/charm-gcp-cloud-provider,0,8,0,8,2,1,2,3,0,2,1,0,0,3,0,0,0,0,0,0
charmed-kubernetes/charm-kata,0,18,0,18,3,2,10,3,1,3,2,2,0,5,0,0,0,0,0,0
charmed-kubernetes/charm-kube-ovn,0,65,8,57,6,8,22,9,0,6,12,2,0,21,3,0,0,0,0,0
charmed-kubernetes/charm-kube-virt,0,28,0,28,5,3,3,18,0,2,1,2,0,4,0,0,0,0,0,0
charmed-kubernetes/charm-kubeapi-load-balancer,0,50,0,50,3,6,17,9,0,2,4,2,0,16,1,2,0,0,0,0
charmed-kubernetes/charm-kubernetes-control-plane,0,421,0,421,12,69,99,27,7,3,21,5,4,204,13,5,0,5,1,0
charmed-kubernetes/charm-kubernetes-e2e,0,46,0,46,1,1,9,12,1,5,8,2,0,18,0,0,0,0,0,0
charmed-kubernetes/charm-kubernetes-worker,0,216,0,216,5,27,50,26,10,4,4,4,4,97,3,2,0,5,0,0
charmed-kubernetes/charm-multus,0,28,0,28,1,2,8,5,0,3,1,2,0,12,0,0,0,0,0,0
charmed-kubernetes/charm-sriov-cni,0,25,0,25,1,2,5,4,0,3,0,2,0,12,0,0,0,0,0,0
charmed-kubernetes/charm-sriov-network-device-plugin,0,16,0,16,1,0,5,2,0,4,0,1,0,7,0,0,0,0,0,0
charmed-kubernetes/cluster-api-bootstrap-provider-charmed-k8s,0,11,0,11,1,0,8,2,0,2,2,1,0,1,0,0,0,0,0,0
charmed-kubernetes/cluster-api-control-plane-provider-charmed-k8s,0,13,0,13,1,2,2,2,0,2,1,1,0,7,0,0,0,0,0,0
charmed-kubernetes/cluster-api-provider-juju,0,22,1,21,2,4,5,2,0,2,1,1,0,11,0,0,0,0,0,0
charmed-kubernetes/gcp-k8s-storage,0,16,0,16,2,3,2,4,0,3,0,0,0,9,0,0,0,0,0,0
charmed-kubernetes/kube-state-metrics-operator,0,16,0,16,2,3,4,2,0,2,3,0,0,4,6,0,0,0,0,0
charmed-kubernetes/kubernetes-dashboard-operator,0,90,5,85,3,4,7,38,65,5,4,1,1,8,0,4,0,0,0,0
charmed-kubernetes/kubernetes-metrics-server-operator,0,9,0,9,1,0,3,2,0,2,0,0,0,5,0,0,0,0,0,0
charmed-kubernetes/layer-calico,0,118,0,118,4,17,32,21,0,3,3,3,2,47,0,0,0,2,0,3
charmed-kubernetes/layer-canal,0,86,0,86,2,16,22,17,0,3,1,3,2,33,0,0,0,2,0,1
charmed-kubernetes/layer-container-runtime-common,0,8,0,8,0,1,5,0,0,0,0,0,0,2,0,0,0,1,0,0
charmed-kubernetes/layer-easyrsa,0,44,0,44,4,11,14,5,0,2,5,3,0,12,0,3,0,0,1,0
charmed-kubernetes/layer-etcd,0,180,0,180,5,38,44,13,1,8,10,5,0,70,2,8,0,5,10,0
charmed-kubernetes/layer-kubernetes-master-worker-base,0,19,0,19,1,1,10,2,0,2,0,0,0,7,0,0,0,0,0,0
charmed-kubernetes/layer-kubernetes-node-base,0,20,0,20,2,3,5,3,0,2,0,0,0,10,0,0,0,1,0,0
charmed-kubernetes/layer-nagios,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
charmed-kubernetes/layer-tigera-secure-ee,0,40,0,40,1,7,11,7,0,2,0,3,0,16,0,0,0,0,0,0
charmed-kubernetes/metallb-operator,0,46,0,46,2,7,9,3,0,7,4,1,1,26,0,0,0,0,0,0
charmed-kubernetes/openstack-cloud-controller-operator,0,28,0,28,3,2,8,6,0,2,1,0,0,9,0,0,2,1,0,0
charmed-kubernetes/vsphere-cloud-provider,0,41,0,41,4,4,7,4,1,4,2,2,0,22,0,0,0,0,0,0
dell-esg/powerflex-cinder-charm,0,12,2,10,2,1,3,0,0,2,0,2,0,6,0,0,0,0,0,0
dell-esg/powerflex-nova-charm,0,10,1,9,2,1,4,0,0,3,3,1,0,3,0,0,0,0,0,0
dell-esg/powermax-cinder-charm,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jenkinsci/jenkins-charm,0,152,60,92,34,42,27,14,3,4,14,7,0,62,0,0,0,6,2,0
jnsgruk/upki-mirror-k8s-operator,0,20,0,20,0,4,2,14,3,1,1,0,0,0,0,0,0,0,0,0
jnsgruk/zinc-k8s-operator,0,418,3,415,0,8,15,236,268,18,29,0,0,38,7,0,0,0,1,0
juju-solutions/charm-flannel,0,85,0,85,4,9,31,8,0,5,7,4,0,33,0,0,0,1,0,1
juju/bundleservice-charm,0,5,0,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
juju/hello-juju-charm,0,7,3,4,3,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0
juju/juju-controller,0,127,11,116,12,16,30,5,13,15,3,6,0,55,10,1,0,0,1,0
juju/juju-gui-charm,0,82,11,71,3,15,15,6,0,6,0,4,0,39,0,1,0,1,0,0
juju/jujushell-charm,0,23,2,21,2,5,9,0,0,0,0,0,0,10,0,1,0,0,0,0
openstack-charmers/charm-arista-virt-test-fixture,0,11,2,9,1,4,3,2,0,0,0,0,0,3,0,0,0,0,0,0
openstack-charmers/charm-cloudkitty,0,8,0,8,0,0,2,0,0,0,1,1,0,5,0,0,0,0,0,0
openstack-charmers/charm-discoveryserver,0,3,1,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
openstack-charmers/charm-kerberos-test-fixture,0,4,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
openstack-charmers/charm-layer-ovn,0,108,0,108,5,18,37,8,0,7,1,1,0,37,3,4,0,0,0,0
openstack-charmers/charm-ldap-test-fixture,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
openstack-charmers/charm-nfs-server-test-fixture,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
openstack-charmers/charm-nova-compute-operator,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openstack-charmers/charm-openidc-test-fixture,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
openstack-charmers/charm-quagga,0,20,5,15,3,1,9,0,0,0,1,5,0,7,0,0,0,0,0,0
openstack-charmers/charm-sunbeam-machine,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
openstack-charmers/charm-woodpecker,0,11,0,11,2,2,5,0,0,0,2,0,0,4,1,0,0,0,0,0
openstack-charmers/charm-zookeeper-k8s,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
openstack-charmers/openstack-libs,0,5,0,5,0,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0
openstack/charm-aodh,0,9,0,9,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-barbican,0,16,0,16,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-barbican-vault,0,9,0,9,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-ceilometer,0,5,0,5,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
openstack/charm-ceilometer-agent,0,4,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-cinder,0,10,0,10,1,0,1,7,0,0,0,0,0,2,0,0,0,0,0,0
openstack/charm-cinder-ceph,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-designate-bind,0,13,0,13,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-glance,0,7,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-glance-simplestreams-sync,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-gnocchi,0,10,0,10,3,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0
openstack/charm-hacluster,0,5,0,5,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
openstack/charm-heat,0,7,0,7,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-keystone,0,13,0,13,0,0,1,7,0,0,0,0,0,5,0,0,0,0,0,0
openstack/charm-keystone-ldap,0,4,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-keystone-saml-mellon,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
openstack/charm-manila,0,6,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-masakari,0,11,0,11,4,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0
openstack/charm-masakari-monitors,0,11,0,11,3,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0
openstack/charm-neutron-gateway,0,4,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-nova-cell-controller,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-octavia-dashboard,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-octavia-diskimage-retrofit,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-pacemaker-remote,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-percona-cluster,0,4,0,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
openstack/charm-placement,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
openstack/charm-rabbitmq-server,0,12,0,12,0,1,1,7,0,0,0,0,0,2,1,0,0,0,0,0
openstack/charm-swift-proxy,0,7,0,7,0,1,0,5,0,0,0,1,0,1,0,0,0,0,0,0
openstack/charm-swift-storage,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
tonyandrewmeyer/exim-operator,0,3,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tonyandrewmeyer/takahe-operator,0,3,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
vladklokun/ks-charmed,0,3,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
